track_id,phase,Total Distance (km),Total Time (Hours),Mean Speed (m/s),Region,Season
20040069,mature 2,1460.0442298027565,16.0,25.3479901007423,Total,Total
20040070,decay 2,2106.597485178233,12.0,48.76383067542207,Total,Total
20040070,intensification 2,5526.204969822273,48.0,31.98035283461964,Total,Total
20040070,mature 2,2028.0231588980969,16.0,35.2087353975364,Total,Total
20040071,decay 2,3304.5930093921947,41.0,22.388841527047397,Total,Total
20040071,incipient,119.79150962606552,2.0,16.63770967028688,Total,Total
20040071,intensification,408.3434858540268,6.0,18.9047910117605,Total,Total
20040071,intensification 2,2434.9080912585378,42.0,16.103889492450648,Total,Total
20040071,mature 2,1537.1947024819472,16.0,26.687408029200476,Total,Total
20040072,intensification 2,706.3254591287083,42.0,4.671464676777172,Total,Total
20040072,mature 2,88.71704224694489,5.0,4.928724569274716,Total,Total
20040073,intensification 2,2534.120895017676,29.0,24.2731886495946,Total,Total
20040073,mature 2,191.04719409054067,3.0,17.689555008383397,Total,Total
20040074,decay 2,3392.826817658667,32.0,29.451621681064815,Total,Total
20040074,intensification 2,1851.9929350046164,17.0,30.261322467395694,Total,Total
20040074,mature 2,1209.8057609541297,16.0,21.003572238786976,Total,Total
20040075,decay,5311.748733441676,54.0,27.323810357210277,Total,Total
20040075,decay 2,804.1357264749084,41.0,5.448074027607781,Total,Total
20040075,incipient,560.5063909466246,5.0,31.139243941479144,Total,Total
20040075,intensification,1267.4042487012632,12.0,29.33806131252924,Total,Total
20040075,intensification 2,221.82056556034468,8.0,7.702102970845302,Total,Total
20040075,mature,763.1861182455164,12.0,17.666345329757323,Total,Total
20040075,mature 2,346.6059200762925,16.0,6.017463890213412,Total,Total
20040075,residual,830.9925185294336,15.0,15.38875034313766,Total,Total
20040076,decay 2,29.45503057188684,1.0,8.181952936635234,Total,Total
20040076,intensification 2,173.66655150098222,6.0,8.040118125045474,Total,Total
20040076,mature 2,523.8731647902739,16.0,9.095020222053368,Total,Total
20040077,decay,7518.123470812455,98.0,21.30987378348201,Total,Total
20040077,decay 2,4758.92675838505,53.0,24.941964142479296,Total,Total
20040077,incipient,406.5670541930664,5.0,22.58705856628147,Total,Total
20040077,intensification,2935.98584912565,47.0,17.352162228875002,Total,Total
20040077,mature,1293.7838804812218,26.0,13.822477355568608,Total,Total
20040077,mature 2,769.5721201381457,6.0,35.62833889528453,Total,Total
20040077,residual,1102.5599088413223,15.0,20.417776089654115,Total,Total
20040078,decay 2,2301.01605348501,31.0,20.61842341832446,Total,Total
20040079,decay,611.368541146306,14.0,12.130328197347342,Total,Total
20040079,decay 2,168.52338218807662,4.0,11.703012651949766,Total,Total
20040079,incipient,33.73210366904502,2.0,4.685014398478475,Total,Total
20040079,intensification,338.16181726834463,9.0,10.437093125566191,Total,Total
20040079,mature,139.2888874833162,4.0,9.672839408563624,Total,Total
20040079,residual,226.007284834945,3.0,20.92660044768009,Total,Total
20040080,decay,391.39069402254506,14.0,7.765688373463195,Total,Total
20040080,decay 2,32.35495862038419,3.0,2.995829501887425,Total,Total
20040080,incipient,44.42498040251535,2.0,6.170136167016021,Total,Total
20040080,intensification,233.29302414172136,9.0,7.200401979682758,Total,Total
20040080,mature,217.8546523094443,10.0,6.051518119706787,Total,Total
20040080,residual,284.46015195098875,15.0,5.267780591684977,Total,Total
20040081,decay,2718.483243926418,97.0,7.784889014680465,Total,Total
