,track_id,phase,Total Time (h),Mean Speed (m/s),Total Distance (km),Mean Vorticity (−1 × 10−5 s−1),Mean Growth Rate (10^−5 s^−1 day^-1),Straight Line Distance (km),Genesis Season,Genesis Region
180,19800233,decay,21.0,6.322742634145091,477.9993431413689,3.2900559090909094,-0.35180571428571433,1718.930142747537,MAM,SA-NAM
181,19800233,decay 2,11.0,13.571477454037836,537.4305071798983,2.049330909090909,-1.3954036363636362,518.0044251840455,MAM,SA-NAM
182,19800233,incipient,7.0,15.941563508381167,401.7274004112054,2.530048571428572,1.5606857142857145,2331.0783117307938,MAM,SA-NAM
183,19800233,intensification,36.0,10.080515755241409,1306.4348418792865,2.9678366666666665,0.3712933333333332,2289.1263014078804,MAM,SA-NAM
184,19800233,intensification 2,10.0,6.265642981470945,225.56314733295403,2.875895,-1.5660479999999999,203.40923853178265,MAM,SA-NAM
185,19800233,mature,4.0,8.608785886453706,123.96651676493336,3.5001825,0.6162000000000001,96.67848983458656,MAM,SA-NAM
186,19800233,mature 2,3.0,6.1941578015152965,66.8969042563652,2.38672,-1.5431999999999988,45.54623087174611,MAM,SA-NAM
187,19800233,residual,2.0,19.30645504728927,139.00647634048278,2.18583,0.2275199999999984,69.68449170073279,MAM,SA-NAM
188,19800237,decay,20.0,12.899533759850794,928.7664307092573,7.79968,3.211488,883.5546583166804,MAM,ARG
189,19800237,decay 2,11.0,15.143951703135212,599.7004874441544,6.389558181818182,-4.924232727272727,272.08362485307896,MAM,ARG
190,19800237,intensification,3.0,27.52529597854226,297.27319656825637,4.816762499999999,7.630240000000001,298.0346296999579,MAM,ARG
191,19800237,intensification 2,10.0,16.24443651035699,584.7997143728516,8.089845,-2.574408000000001,502.0596258813489,MAM,ARG
192,19800237,mature,4.0,15.080812629220064,217.16370186076895,5.8752025,4.184220000000002,147.1221709976081,MAM,ARG
193,19800237,mature 2,3.0,21.464342166496465,231.8148953981618,7.58334,-0.46911999999999665,85.61432437150992,MAM,ARG
194,19800240,decay,16.0,4.258757420391106,245.3044274145277,2.939858823529412,0.029954999999999732,590.6605444713229,MAM,SAt
195,19800240,decay 2,11.0,3.741477721433125,148.16251776875174,2.975309090909091,0.9289090909090906,63.95305038076668,MAM,SAt
196,19800240,incipient,1.0,1.2436240328258608,4.477046518173099,3.02751,-0.2688000000000023,0.0,MAM,SAt
197,19800240,intensification,14.0,3.8377436436315944,193.42227963903235,3.3011585714285716,0.6293485714285713,90.17917656895558,MAM,SAt
198,19800240,intensification 2,10.0,6.892475857016554,248.12913085259592,2.393467,1.3646160000000003,227.5222754888124,MAM,SAt
199,19800240,mature,3.0,1.7187645135512268,18.56265674635325,3.73387,2.7416800000000023,12.228692840521468,MAM,SAt
200,19800240,mature 2,3.0,4.495492815846197,48.55132241113893,2.5966733333333334,0.5857600000000005,39.0103820922141,MAM,SAt
201,19800240,residual,6.0,3.8181713272762465,82.47250066916692,2.951495,-2.8574800000000007,50.89828196600045,MAM,SAt
202,19800241,decay,3.0,23.53731915446509,254.203046868223,2.5430625,5.142959999999999,249.17368027531117,MAM,SAt
203,19800241,decay 2,11.0,10.895165497648915,431.44855370689703,4.604819090909091,-1.183003636363638,383.0996514758346,MAM,SAt
204,19800241,incipient,1.0,11.594433304342015,41.73995989563126,4.37861,-0.7154399999999868,0.0,MAM,SAt
205,19800241,intensification,2.0,11.171611350170767,80.43560172122952,4.348075,-0.42035999999999873,35.23481923246525,MAM,SAt
206,19800241,intensification 2,10.0,10.831063579920636,389.91828887714286,4.459376000000001,5.29308,334.31479624318956,MAM,SAt
207,19800241,mature 2,3.0,5.899625440593944,63.7159547584146,4.985633333333333,-1.103519999999996,40.64294278540627,MAM,SAt
208,19800242,decay,17.0,6.287018345717519,384.76552275791215,5.853061176470588,-1.4463105882352953,1246.2503387975044,MAM,SAt
209,19800242,decay 2,5.0,13.583943725369195,244.51098705664552,5.295771666666666,2.3919840000000008,241.05951988298938,MAM,SAt
210,19800242,incipient,1.0,12.024322816711264,43.28756214016055,5.74271,3.270959999999995,0.0,MAM,SAt
